meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,y_true,y_conformal
2.715471,2.7163500000000003,0.0228149729125414,0.0322249999999999,0.1246,2.68469,2.6997,2.7286,2.74481,-0.1950504618512987,-0.233528897388008,0.9972438288974398,1.0,1.0
2.6404243,2.64325,0.0493590122420414,0.0754499999999995,0.2397999999999998,2.5749,2.601675,2.67323,2.7034,-0.7462589723741293,-0.1079204646596723,0.9979465711425946,-1.0,-1.0
2.6933577,2.69295,0.0246359917744344,0.0287249999999996,0.1415999999999999,2.6617,2.6777,2.7029,2.723,0.3071360806675405,0.2692944358209447,0.9976425961708972,1.0,1.0
2.6368674000000003,2.6375,0.0330549540498848,0.0522,0.1556000000000001,2.59219,2.612,2.6592,2.67811,-0.7543568610061548,-0.1718050648588729,0.9978676887797436,-1.0,-1.0
2.6766686499999994,2.674,0.030509868275322,0.0449999999999999,0.1389,2.63699,2.65475,2.6936,2.721,-0.7150298747745256,0.0103819417031908,0.9971183802691092,1.0,1.0
2.68631255,2.68645,0.0251421341078576,0.0327250000000001,0.1497999999999999,2.6549,2.67,2.6989,2.7187,0.1244539760223459,-0.0211885071264024,0.9975873163194572,-1.0,1.0
2.6518729,2.64935,0.0338373919738209,0.039625,0.1974,2.61439,2.6294,2.6651,2.69462,0.6459237538288578,0.4445804857157254,0.9982132690479728,-1.0,-1.0
2.6561698,2.65815,0.0352563547174122,0.0454250000000002,0.1764000000000001,2.60817,2.634575,2.6738,2.70131,-0.1944096787925309,-0.1855922369516396,0.9977178263123546,-1.0,-1.0
2.68060295,2.6777,0.0280246844103104,0.0383,0.1777000000000002,2.64669,2.6628,2.6937,2.71701,0.3881484391897962,0.2234909061065318,0.9975280646362098,-1.0,1.0
2.69010265,2.6942,0.0280094351599153,0.0366499999999998,0.1558999999999999,2.64838,2.673875,2.7073,2.72171,0.1476596068036024,-0.6733441699834989,0.9974291170600608,-1.0,1.0
2.70465955,2.7074,0.0217151852121389,0.0275500000000001,0.1234999999999999,2.6733,2.69225,2.7169,2.7286,0.3143335835549581,-0.5123972292243331,0.9960680982226326,1.0,1.0
2.68978935,2.6881,0.0252419024952062,0.0297,0.1572,2.66059,2.674,2.6997,2.72501,0.3973784534664948,0.1214948620183077,0.9967901828644532,1.0,1.0
2.63387605,2.6345,0.0348346673788842,0.0504000000000002,0.1812,2.59059,2.606,2.65153,2.68162,-0.4351734064080128,0.1117582395213211,0.9962731984729104,-1.0,-1.0
2.63566345,2.634,0.0303526642833458,0.0346999999999999,0.2080999999999999,2.59929,2.617,2.6478,2.6705,1.9041730736875728,0.7342846859247744,0.997161405068756,1.0,-1.0
2.70126985,2.7017,0.0203122572841498,0.0262250000000001,0.1269,2.6768,2.6877,2.71153,2.72451,0.5782556191194841,-0.0076214354872341,0.9972971990558536,1.0,1.0
2.6395028500000004,2.6375,0.0319793040399177,0.0445250000000001,0.1814999999999997,2.59859,2.618175,2.6538,2.6817100000000003,-0.1246859382912126,0.2287055406788696,0.9975148893636075,-1.0,-1.0
2.6602492,2.6602,0.0345174376128935,0.0494249999999998,0.1674999999999999,2.6191,2.6331,2.6776,2.7089,-0.4469660079103055,0.1748959596489463,0.9976099350819404,-1.0,-1.0
2.637016,2.6348,0.0304255362154884,0.0406999999999997,0.1495999999999999,2.5982,2.6158,2.6514,2.67881,-0.2966694213834033,0.2956115446818896,0.9959289441825364,-1.0,-1.0
2.693207,2.6957,0.0253790346743133,0.0363000000000002,0.1316999999999999,2.65658,2.6757,2.7085,2.7258,-0.2638954509827007,-0.4135909513542045,0.997535580875076,1.0,1.0
2.62723655,2.62475,0.0326276899135918,0.0403999999999999,0.1934999999999997,2.58879,2.6051,2.64023,2.6717,0.3072068553498153,0.3785790735390751,0.996559121714929,-1.0,-1.0
2.6764130500000003,2.6761,0.0239951360633254,0.0352499999999995,0.1221999999999998,2.6451,2.6596,2.68966,2.70821,-0.5308812213396794,-0.0678068306782972,0.9973252944703253,1.0,1.0
2.65587295,2.656,0.0272404554531949,0.0383999999999997,0.1303999999999998,2.6189,2.6371,2.67093,2.6931,-0.5727901708885454,-0.0535719565062831,0.9958876426452624,-1.0,-1.0
2.6434112,2.6431500000000003,0.0317906526287209,0.0458249999999997,0.1618999999999997,2.60209,2.6208,2.6616,2.6839,-0.4546442656965617,-0.0480678645283393,0.9960316052587496,-1.0,-1.0
2.6789543000000005,2.6768,0.0268492927562347,0.0336250000000002,0.1305999999999998,2.64579,2.6628,2.6915,2.7162,-0.2424891159064905,0.0053079241419773,0.996875039528486,1.0,1.0
2.6319790000000003,2.6322,0.030960982203412,0.0388999999999999,0.1917999999999997,2.5949,2.6132,2.64713,2.67341,0.431443646059054,-0.2821491951010996,0.9968641820870908,-1.0,-1.0
2.66349295,2.6609,0.0235356690004235,0.0306499999999996,0.1415999999999999,2.63719,2.6474,2.6739,2.695,0.3944323114072832,0.3042003233480265,0.9968538351499248,-1.0,-1.0
2.69369395,2.69365,0.0271167136356436,0.0362,0.1295000000000001,2.66099,2.6737,2.70553,2.7337,-0.30720259123443,0.1913321825407877,0.9976676172538642,1.0,1.0
2.70438635,2.7037,0.0205836991009269,0.027025,0.1181000000000001,2.6795,2.689775,2.7135,2.7314,0.1960557924722508,0.3810804884154402,0.9969954795590008,1.0,1.0
2.6303401,2.6274,0.0357003877008359,0.0467250000000003,0.1940999999999997,2.58728,2.6087,2.64923,2.6815,0.0556084110224075,-0.1492268309523138,0.9977088167898576,-1.0,-1.0
2.63684195,2.6344,0.0369001450565915,0.051225,0.2043000000000003,2.59339,2.6109,2.6566,2.68584,-0.0848414561078914,0.1213614003816868,0.9979251438274132,-1.0,-1.0
2.6821991,2.684,0.0276184492538954,0.0343,0.1795,2.6503,2.6662,2.69693,2.7135,1.5072506201191658,-0.6061596927528541,0.9971484556023223,1.0,1.0
2.66191595,2.6624,0.0388338028088609,0.0488999999999997,0.2172,2.61328,2.6362,2.6792,2.71761,-0.080938740277594,-0.0383803880909026,0.9964903812800414,-1.0,-1.0
2.6719599,2.6729,0.0323744665128245,0.0454499999999997,0.1846999999999998,2.63019,2.650875,2.6911,2.7119,0.0068650176393458,-0.389433079640388,0.9945773724180528,1.0,-1.0
2.68696385,2.68825,0.0326780883494965,0.0382249999999997,0.1971999999999996,2.6459,2.6686,2.702,2.7268,0.5009568330122267,-0.0606058881713825,0.9971291236134237,1.0,1.0
2.67408945,2.6753,0.0257354396445349,0.0295999999999998,0.1376999999999997,2.6388,2.6578,2.68483,2.70711,0.2250396758006987,0.201377684461923,0.9970790169934785,1.0,1.0
2.66951375,2.6669,0.0344232020000682,0.0406499999999998,0.1814999999999997,2.62789,2.64675,2.6825,2.71943,0.2143084407598552,0.4609006150849303,0.99842798627719,-1.0,-1.0
2.67568655,2.6742,0.0262356014624688,0.0325999999999999,0.1577999999999999,2.64599,2.6575,2.6862,2.7061,1.2547020264550175,0.7275978897835808,0.9962530923745976,1.0,-1.0
2.68788555,2.6883,0.0268265572930538,0.0338499999999997,0.1564999999999998,2.65579,2.672175,2.7015,2.721,0.4873696724289504,-0.4118152036841421,0.9955300417635092,1.0,1.0
2.64349785,2.6464,0.0341771454392771,0.0467999999999997,0.1705999999999998,2.59799,2.6185,2.6603,2.68841,-0.38155787089193,-0.0034904410381505,0.9979337030425812,-1.0,-1.0
2.709878,2.7087,0.0219591932001155,0.0325000000000001,0.1244999999999998,2.68319,2.6934,2.7216,2.7393,-0.3053437362284583,0.2878562128748086,0.9969014623881852,1.0,1.0
2.68251765,2.6862,0.0334420693659573,0.0442249999999999,0.1734999999999997,2.63578,2.660875,2.7016,2.7232,-0.1949050484620977,-0.2881411171841612,0.9975252402870828,1.0,1.0
2.6256933000000005,2.62815,0.0350730876187141,0.0404000000000004,0.2033,2.5867,2.6068,2.64343,2.67096,1.2852721923638422,-0.676345122829733,0.9971615098767928,-1.0,1.0
2.6509952999999995,2.6518,0.025725568369037,0.033725,0.1559999999999997,2.61568,2.6349,2.6655,2.6827,0.0879354602748816,-0.2712517390385737,0.996835110033778,-1.0,-1.0
2.69056315,2.69015,0.0235009016226505,0.0332249999999998,0.1251000000000002,2.6584,2.6741,2.7035,2.7224,-0.4114972078473062,0.1272600826473871,0.9973659250030584,1.0,1.0
2.61780575,2.6181,0.0414420483559572,0.0565250000000001,0.2172999999999998,2.566,2.591075,2.6415,2.6691,-0.1467496080537911,-0.1539461696897758,0.9979079495791596,-1.0,-1.0
