Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
672,SafetyMargin > 0.08,0.2446,0.8177278401997503,1.0,1.0,1.0
673,Eta <= 0.25,0.2452,0.7485428809325562,-1.0,-1.0,-1.0
674,SafetyMargin <= 0.02,0.2502,0.850187265917603,-1.0,-1.0,-1.0
675,SafetyMargin <= 0.05,0.4961,0.7475982532751092,-1.0,-1.0,1.0
676,Tau > 0.75,0.2553,0.827930174563591,-1.0,-1.0,-1.0
677,Tau <= 0.51,0.4919,0.7345679012345679,1.0,1.0,-1.0
678,Tau <= 0.25,0.2475,0.8542914171656687,1.0,1.0,1.0
679,SafetyMargin <= 0.02,0.2577,0.8514357053682896,-1.0,-1.0,-1.0
680,SafetyMargin <= 0.02,0.2535,0.8231098430813124,-1.0,-1.0,-1.0
681,Tau > 0.75,0.2487,0.8416030534351145,-1.0,-1.0,-1.0
682,Tau <= 0.25,0.253,0.8650306748466258,1.0,1.0,1.0
683,SafetyMargin > 0.08,0.2542,0.83270911360799,1.0,1.0,1.0
684,Tau > 0.75,0.2574,0.8535773710482529,-1.0,-1.0,-1.0
685,SafetyMargin <= 0.02,0.2423,0.8302425106990015,-1.0,-1.0,-1.0
686,SafetyMargin > 0.08,0.2539,0.8535773710482529,1.0,1.0,-1.0
687,Tau <= 0.25,0.2454,0.8728179551122195,1.0,1.0,1.0
688,SafetyMargin > 0.08,0.2551,0.8263358778625954,1.0,1.0,1.0
689,Tau > 0.75,0.2427,0.8129675810473815,-1.0,-1.0,-1.0
690,Tau <= 0.25,0.2463,0.8739076154806492,1.0,1.0,1.0
691,SafetyMargin <= 0.02,0.2489,0.8402282453637661,-1.0,-1.0,-1.0
692,Tau <= 0.51,0.4982,0.7560627674750356,1.0,1.0,1.0
693,SafetyMargin <= 0.02,0.2425,0.8416547788873039,-1.0,-1.0,-1.0
694,SafetyMargin <= 0.02,0.2564,0.8199445983379502,-1.0,-1.0,-1.0
695,Tau <= 0.25,0.2555,0.8927680798004988,1.0,1.0,1.0
696,Tau <= 0.25,0.2455,0.8419301164725458,1.0,1.0,1.0
697,Tau > 0.75,0.2431,0.8653366583541147,-1.0,-1.0,-1.0
698,SafetyMargin > 0.08,0.2497,0.8130841121495327,1.0,1.0,1.0
699,SafetyMargin > 0.08,0.2551,0.8273894436519258,1.0,1.0,1.0
700,Tau > 0.75,0.2485,0.8383977900552486,-1.0,-1.0,-1.0
701,SafetyMargin > 0.05,0.5108,0.7250554323725056,1.0,1.0,1.0
702,Tau <= 0.25,0.2547,0.8790697674418605,1.0,1.0,1.0
703,SafetyMargin <= 0.02,0.2536,0.8569051580698835,-1.0,-1.0,-1.0
704,Tau <= 0.51,0.5014,0.7523584905660378,1.0,1.0,1.0
705,Tau <= 0.25,0.2513,0.8445078459343794,1.0,1.0,-1.0
706,SafetyMargin <= 0.02,0.2446,0.8166666666666667,-1.0,-1.0,-1.0
707,SafetyMargin > 0.05,0.4975,0.7325134511913912,1.0,1.0,1.0
708,Tau > 0.51,0.5011,0.7321785476349101,-1.0,-1.0,1.0
709,SafetyMargin <= 0.02,0.2464,0.8421052631578947,-1.0,-1.0,-1.0
710,Tau <= 0.25,0.2553,0.8802992518703242,1.0,1.0,1.0
711,SafetyMargin > 0.08,0.2521,0.8518518518518519,1.0,1.0,1.0
712,SafetyMargin <= 0.02,0.2506,0.8221797323135756,-1.0,-1.0,-1.0
713,Tau <= 0.25,0.2545,0.8761061946902655,1.0,1.0,1.0
