Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
335,Tau > 0.75,0.248,0.8133971291866029,-1.0,-1.0,-1.0
336,SafetyMargin > 0.08,0.2591,0.851145038167939,1.0,1.0,1.0
337,Tau > 0.75,0.2502,0.8218151540383014,-1.0,-1.0,-1.0
338,Tau <= 0.25,0.2483,0.9021956087824351,1.0,1.0,1.0
339,SafetyMargin <= 0.02,0.2502,0.7946725860155383,-1.0,-1.0,-1.0
340,Tau <= 0.25,0.2453,0.8974358974358975,1.0,1.0,1.0
341,Eta <= 0.25,0.2442,0.7182587666263603,-1.0,-1.0,1.0
342,Tau > 0.51,0.5009,0.7351351351351352,-1.0,-1.0,-1.0
343,Tau > 0.75,0.2499,0.8260038240917782,-1.0,-1.0,-1.0
344,SafetyMargin > 0.05,0.4998,0.7274453941120608,1.0,1.0,1.0
345,Tau <= 0.25,0.2391,0.9033232628398792,1.0,1.0,-1.0
346,SafetyMargin > 0.08,0.2486,0.8447058823529412,1.0,1.0,1.0
347,SafetyMargin <= 0.02,0.2493,0.821071752951862,-1.0,-1.0,-1.0
348,Tau <= 0.25,0.2453,0.8971428571428571,1.0,1.0,1.0
349,Tau > 0.75,0.252,0.8245363766048502,-1.0,-1.0,-1.0
350,Tau > 0.75,0.2447,0.8003802281368821,-1.0,-1.0,-1.0
351,SafetyMargin > 0.08,0.2571,0.8502879078694817,1.0,1.0,1.0
352,Tau > 0.75,0.2491,0.8121546961325967,-1.0,-1.0,-1.0
353,SafetyMargin <= 0.02,0.2532,0.8014981273408239,-1.0,-1.0,-1.0
354,SafetyMargin > 0.08,0.2484,0.8587731811697575,1.0,1.0,1.0
355,SafetyMargin <= 0.02,0.2467,0.7974683544303798,-1.0,-1.0,-1.0
356,Tau > 0.51,0.5012,0.7285595337218984,-1.0,-1.0,-1.0
357,Tau > 0.75,0.2579,0.8041095890410959,-1.0,-1.0,-1.0
358,Tau > 0.75,0.242,0.802547770700637,-1.0,-1.0,-1.0
359,Tau > 0.75,0.2475,0.7970049916805324,-1.0,-1.0,-1.0
360,Tau <= 0.25,0.2425,0.9122807017543859,1.0,1.0,1.0
361,Tau <= 0.25,0.2546,0.8855140186915887,1.0,1.0,1.0
362,SafetyMargin > 0.08,0.2514,0.8402282453637661,1.0,1.0,1.0
